2025-10-09 01:33:30,280 - INFO - ======================================================================
2025-10-09 01:33:30,280 - INFO - VINTED DATA PIPELINE - FULL RUN
2025-10-09 01:33:30,280 - INFO - ======================================================================
2025-10-09 01:33:30,280 - INFO - 
[1/2] Running Vinted scraper...
2025-10-09 01:33:30,280 - INFO - ----------------------------------------------------------------------
2025-10-09 01:33:31,236 - INFO - Loading homepage to capture cookies
2025-10-09 01:33:41,394 - INFO - Cookies captured: 16
2025-10-09 01:33:41,397 - INFO - Scraping combo: Zara - Dresses - Women
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido corto Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido rosa Zara (13.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido ZARA (17.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido zara xs con etiqueta (20.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido beige con forro (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido amplio Zara (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido zara (7.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido blanco MIDI de Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido vaquero Zara (9.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido/mono Zara marrón (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido ZARA (4.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,680 - INFO - Scraped: Vestido verde Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido corto (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido camisero de Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido ejecutivo Zara (7.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido cut-out Zara (12.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido azul marino Zara talla S (7.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido corto (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido terciopelo corto (10.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,681 - INFO - Scraped: Divino vestido largo Zara (20.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido de verano (7.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,681 - INFO - Scraped: Vestido de lana (4.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,681 - INFO - Scraped: vestido mini negro (3.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,682 - INFO - Scraped: Vestido Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,682 - INFO - Scraped: Vestido plumas (50.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,682 - INFO - Scraped: Vestido Zara (25.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,682 - INFO - Scraped: Vestido invitada/ evento Zara (25.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,682 - INFO - Scraped: Vestido. (20.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,682 - INFO - Scraped: Vestido Zara-Trafaluc (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,682 - INFO - Scraped: Vestido manga larga brilli blanco y negro Zara S (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,682 - INFO - Scraped: Vestido fruncido (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido de lana de Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido punto Zara (7.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido negro (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido de verano (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido verde botella plisado (12.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido satinado zara (12.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido de Zara (12.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido rojo mini punto cuello alto Zara (12.99 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido palabra honor (4.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido Zara (24.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,683 - INFO - Scraped: Vestido Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido satén (12.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido negro Fiesta (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido verde Zara bolsillos (2.5 EUR, published: 2025-10-07)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido nuevo flores Zara (6.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido corto con apertura delantera (4.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido verde (12.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido zara (4.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: vestido lazo (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: Divino vestido largo ZARA (21.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido ajustado Zara talla S (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido de Zara en marrón, chocolate y lunar pequeño verde (12.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,684 - INFO - Scraped: Vestido Zara (3.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido rojo fundido Zara (6.0 EUR, published: 2025-10-06)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido (6.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido franela gris  de Zara (25.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido canalé Zara con apertura delantera (7.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido zara (4.99 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: 🎀🎀Precioso vestido canalé lavado🎀🎀 (16.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido satinado zara nuevo con etiquetas (16.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: Divino vestido combinado Zara (17.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido negro midi (9.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido largo brillo dorado. (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: Vestido azul claro (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,685 - INFO - Scraped: vestido burbuja de fiesta y coctel (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido de Zara talla S (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido verde de Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido Zara (29.9 EUR, published: 2025-10-08)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido azul y dorado (12.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido azul celeste (12.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido largo verde (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido con hombreras Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido fruncido (10.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,686 - INFO - Scraped: vestido corto (2.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido de verano (6.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido terciopelo (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,686 - INFO - Scraped: Vestido mini con hombreras (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,687 - INFO - Scraped: Vestido mujer (3.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,687 - INFO - Scraped: Vestido de zara (7.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,687 - INFO - Scraped: Vestido largo (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,687 - INFO - Scraped: Vestido Lunares Zara (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,687 - INFO - Scraped: Vestido fruncido de Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,687 - INFO - Scraped: Vestido negro nuevo (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,687 - INFO - Scraped: Vestido de lunares (16.0 EUR, published: 2025-10-08)
