2025-10-13 07:58:05,639 - INFO - 
======================================================================
2025-10-13 07:58:05,639 - INFO - VINTED MARKET INTELLIGENCE PIPELINE
2025-10-13 07:58:05,639 - INFO - Started: 2025-10-13 07:58:05
2025-10-13 07:58:05,640 - INFO - ======================================================================

2025-10-13 07:58:05,640 - INFO - Checking dependencies...
2025-10-13 07:58:05,641 - INFO - [OK] playwright
2025-10-13 07:58:05,985 - INFO - [OK] pandas
2025-10-13 07:58:06,912 - INFO - [OK] streamlit
2025-10-13 07:58:06,912 - INFO - [OK] plotly
2025-10-13 07:58:06,916 - INFO - [OK] reportlab
2025-10-13 07:58:06,916 - INFO - [OK] All dependencies installed
2025-10-13 07:58:06,916 - INFO - [OK] Data directories ready

2025-10-13 07:58:06,916 - INFO - ======================================================================
2025-10-13 07:58:06,916 - INFO - STEP: SCRAPING (vinted_scraper.py)
2025-10-13 07:58:06,916 - INFO - ======================================================================
2025-10-13 07:59:15,403 - INFO - 
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido largo Zara (10.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,667 - INFO - Scraped: Robe courte kaki (3.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido corto marrón. (5.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido blanco (6.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido Zara invierno (17.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido Zara largo (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido azul eléctrico Zara (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido satén Zara (12.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido zara (6.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido plateado Zara (6.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido camisero de Zara (4.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: \U0001f380\U0001f380Precioso vestido azul celeste\U0001f380\U0001f380 (17.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido caqui Zara (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido Zara (3.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,667 - INFO - Scraped: Zara elegant dress (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido rosa zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido lencero Zara (3.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido calado con forro incluido Beig de Zara (7.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido largo vaquero cinturón (7.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido negro (7.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido negro corto (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido corto ajustado (4.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido zara (6.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido (5.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido de punto (8.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido negro de Zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara (8.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido (5.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: vestido zara (6.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido encaje Zara (8.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara (7.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido estampado de Zara (7.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido midi Zara talla S (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido zara (3.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido de punto beige de Zara (4.5 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara (1.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido estampado (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido negro fiesta ZARA (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: vestido saten zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido como champagne satinado (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara corto lila (7.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido azul Zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara talla S (7.5 EUR, published: 2025-10-11)
2025-10-13 07:58:26,668 - INFO - Scraped: vestido zara (4.5 EUR, published: 2025-10-11)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido zara burdeos (12.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido volantes Zara (7.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido blanco Zara (3.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara (12.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido con divino estampado delantero (13.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido camisero de zara (6.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido largo canalé negro – Zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido verde Zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido del Zara negro entallado y cortito (5.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido corto (6.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido chica Zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara nueva colección (32.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,668 - INFO - Scraped: Vestido Zara (3.5 EUR, published: 2025-10-12)
2025-10-13 07:58:26,669 - INFO - Scraped: Vestido azul Zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,669 - INFO - Scraped: Vestido terciopelo y perlas Zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,669 - INFO - Scraped: Vestido elastico (8.0 EUR, published: 2025-10-11)
